Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
49, ECLIPSE, -5.0, -4.0, -5.0, -5.0, 0, 0, 0, 0
50, ECLIPSE, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
51, ECLIPSE, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
52, ECLIPSE, -4.0, -3.0, -4.0, -4.0, 0, 0, 0, 0
53, ECLIPSE, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
54, ECLIPSE, 4.0, 5.0, 4.0, 4.0, 1, 1, 1, 1
55, ECLIPSE, -3.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
56, ECLIPSE, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
57, ECLIPSE, 5.0, -5.0, 5.0, 5.0, 1, 0, 1, 1
58, ECLIPSE, -2.0, -1.0, -2.0, -2.0, 0, 1, 0, 0
59, ECLIPSE, -9.0, 3.0, -9.0, -9.0, 0, 1, 0, 0
60, ECLIPSE, -5.0, -4.0, -5.0, -5.0, 1, 0, 1, 1
61, ECLIPSE, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
62, ECLIPSE, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
63, ECLIPSE, -4.0, -3.0, -4.0, -4.0, 0, 0, 0, 0
64, SUN_EXPOSURE, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
65, SUN_EXPOSURE, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
66, SUN_EXPOSURE, 9.0, 2.0, 9.0, 9.0, 1, 0, 1, 1
67, SUN_EXPOSURE, 8.0, 1.0, 8.0, 8.0, 0, 0, 0, 0
68, SUN_EXPOSURE, 7.0, 0.0, 7.0, 7.0, 0, 0, 0, 0
69, SUN_EXPOSURE, 6.0, 7.0, 6.0, 6.0, 0, 1, 0, 0
70, SUN_EXPOSURE, 5.0, 6.0, 5.0, 5.0, 0, 0, 0, 0
71, SUN_EXPOSURE, 4.0, 5.0, 4.0, 4.0, 0, 0, 0, 0
72, SUN_EXPOSURE, 3.0, 4.0, 3.0, 3.0, 0, 0, 0, 0
